"Model","Time","SSP","Metric","Mean_days","Median_days","Mean_fraction","Median_fraction"
"CMCC-ESM2","Mid","ssp585","SM_above",36.6085985726701,19,0.0478773551861444,0.0248366013071895
"CMCC-ESM2","Mid","ssp585","SM_outside",196.185210709561,186,0.256537587406563,0.243137254901961
"CMCC-ESM2","Mid","ssp585","Either_outside",207.311283834336,195,0.271089564796066,0.254901960784314
"CanESM5","Mid","ssp585","VPD_below",12.9308186872331,0,0.0169374848344507,0
"CanESM5","Mid","ssp585","VPD_above",40.7504592333683,25,0.0533205895120251,0.0326797385620915
"CanESM5","Mid","ssp585","VPD_outside",53.6812779206014,31,0.0702580743464758,0.0405228758169935
"CanESM5","Mid","ssp585","SM_below",119.668829397984,106,0.156575620665979,0.138562091503268
"CanESM5","Mid","ssp585","SM_above",73.4040931254404,49,0.0960586837699013,0.0640522875816993
"CanESM5","Mid","ssp585","SM_outside",193.072922523424,147,0.25263430443588,0.192156862745098
"CanESM5","Mid","ssp585","Either_outside",223.136876373056,186,0.291957269856157,0.243137254901961
"CanESM5-1","Mid","ssp585","VPD_below",18.0677652231362,0,0.0236940056507942,0
"CanESM5-1","Mid","ssp585","VPD_above",29.1585263231447,17,0.0381920246589079,0.0222222222222222
"CanESM5-1","Mid","ssp585","VPD_outside",47.2262915462809,24,0.0618860303097022,0.0313725490196078
"CanESM5-1","Mid","ssp585","SM_below",103.010016184372,67,0.13494878612086,0.0875816993464052
"CanESM5-1","Mid","ssp585","SM_above",89.225660051318,65,0.116942608687511,0.0849673202614379
"CanESM5-1","Mid","ssp585","SM_outside",192.23567623569,153,0.251891394808371,0.200261780104712
"CanESM5-1","Mid","ssp585","Either_outside",218.588347820178,188,0.286376601058514,0.245751633986928
"EC-Earth3","Mid","ssp585","VPD_below",1.53407353328882,0,0.00200592797929537,0
"EC-Earth3","Mid","ssp585","VPD_above",22.2035479927363,11,0.0290452336775866,0.0143790849673203
"EC-Earth3","Mid","ssp585","VPD_outside",23.7376215260251,11,0.031051161656882,0.0143790849673203
"EC-Earth3","Mid","ssp585","SM_below",239.384682916842,226,0.313123060165279,0.295933762174171
"EC-Earth3","Mid","ssp585","SM_above",86.1933938248827,75,0.112764089349963,0.0980392156862745
"EC-Earth3","Mid","ssp585","SM_outside",325.578076741725,312,0.425887149515242,0.407843137254902
"EC-Earth3","Mid","ssp585","Either_outside",327.980100957445,314,0.429027424243034,0.410457516339869
"INM-CM4-8","Mid","ssp585","VPD_below",21.1652628928425,0,0.027702534227533,0
"INM-CM4-8","Mid","ssp585","VPD_above",84.5254956282167,66,0.110533320045441,0.0862745098039216
"INM-CM4-8","Mid","ssp585","VPD_outside",105.690758521059,78,0.138235854272974,0.101960784313725
"INM-CM4-8","Mid","ssp585","SM_below",193.03563798826,154,0.252421865881407,0.201307189542484
"INM-CM4-8","Mid","ssp585","SM_above",63.8999186631097,45,0.0835731092746542,0.0588235294117647
"INM-CM4-8","Mid","ssp585","SM_outside",256.935556651369,202,0.335994975156062,0.264052287581699
"INM-CM4-8","Mid","ssp585","Either_outside",310.117636146662,306,0.405535485682699,0.4
"INM-CM5-0","Mid","ssp585","VPD_below",29.6090817749235,0,0.038725293488226,0
"INM-CM5-0","Mid","ssp585","VPD_above",37.1223634613779,29,0.0485585769328286,0.0379084967320261
"INM-CM5-0","Mid","ssp585","VPD_outside",66.7314452363014,35,0.0872838704210545,0.0457516339869281
"INM-CM5-0","Mid","ssp585","SM_below",184.945544202086,147,0.241863519056968,0.192156862745098
"INM-CM5-0","Mid","ssp585","SM_above",90.564054803222,82,0.118433956159434,0.10718954248366
"INM-CM5-0","Mid","ssp585","SM_outside",275.509599005308,226,0.360297475216402,0.295424836601307
"INM-CM5-0","Mid","ssp585","Either_outside",303.9625815661,285,0.397497416077618,0.372549019607843
"IPSL-CM6A-LR","Mid","ssp585","VPD_below",1.92750236467002,0,0.00252636313532517,0
"IPSL-CM6A-LR","Mid","ssp585","VPD_above",11.2913979451517,2,0.0147682112440623,0.00261437908496732
"IPSL-CM6A-LR","Mid","ssp585","VPD_outside",13.2189003098217,3,0.0172945743793875,0.00392156862745098
"IPSL-CM6A-LR","Mid","ssp585","SM_below",125.6662697988,87,0.164326595759992,0.113725490196078
"IPSL-CM6A-LR","Mid","ssp585","SM_above",23.9548834536689,10,0.0313238948977032,0.0130718954248366
"IPSL-CM6A-LR","Mid","ssp585","SM_outside",149.621153252469,98,0.195650490657695,0.128104575163399
"IPSL-CM6A-LR","Mid","ssp585","Either_outside",157.533747799688,111,0.206004145484647,0.145098039215686
"KACE-1-0-G","Mid","ssp585","VPD_below",71.2381299695013,58,0.0933674424841331,0.0758169934640523
"KACE-1-0-G","Mid","ssp585","VPD_above",87.276504083751,74,0.114317582363021,0.0967320261437909
"KACE-1-0-G","Mid","ssp585","VPD_outside",158.514634053252,126,0.207685024847155,0.164705882352941
"KACE-1-0-G","Mid","ssp585","SM_below",177.764884941076,117,0.232917189774684,0.153242241778601
"KACE-1-0-G","Mid","ssp585","SM_above",72.8474366673014,70,0.0953849969236325,0.0928104575163399
"KACE-1-0-G","Mid","ssp585","SM_outside",250.612321608378,195,0.328302186698317,0.254901960784314
"KACE-1-0-G","Mid","ssp585","Either_outside",333.162430867544,328,0.436370154866338,0.42875816993464
"MIROC6","Mid","ssp585","VPD_below",41.478644382753,0,0.0542692807379391,0
"MIROC6","Mid","ssp585","VPD_above",40.4066945194891,2,0.0528509023372073,0.00261437908496732
"MIROC6","Mid","ssp585","VPD_outside",81.8853389022421,4,0.107120183075146,0.00522875816993464
"MIROC6","Mid","ssp585","SM_below",59.4416353604313,6,0.0777411059550983,0.00784313725490196
"MIROC6","Mid","ssp585","SM_above",41.2142710644496,15,0.0539094838618184,0.0196078431372549
"MIROC6","Mid","ssp585","SM_outside",100.655906424881,46,0.131650589816917,0.0601307189542484
"MIROC6","Mid","ssp585","Either_outside",148.561103702922,85,0.194317766025009,0.111111111111111
"MPI-ESM1-2-HR","Mid","ssp585","VPD_below",3.61946808780989,0,0.0047657289686067,0
"MPI-ESM1-2-HR","Mid","ssp585","VPD_above",14.159455406439,4,0.0185612279279302,0.00522875816993464
"MPI-ESM1-2-HR","Mid","ssp585","VPD_outside",17.7789234942489,5,0.0233269568965369,0.0065359477124183
"MPI-ESM1-2-HR","Mid","ssp585","SM_below",80.4235288478207,32,0.105274968627432,0.0418848167539267
"MPI-ESM1-2-HR","Mid","ssp585","SM_above",23.7299664573776,5,0.0310775560829526,0.0065359477124183
"MPI-ESM1-2-HR","Mid","ssp585","SM_outside",104.153495305198,49,0.136352524710385,0.0640522875816993
