"Time","SSP","Metric","Mean_days","Median_days","Mean_fraction","Median_fraction","SD_mean_fraction"
"End","ssp245","Either_outside",233.435357563867,206.133333333333,0.305348493327343,0.269515414728583,0.0941273362499802
"End","ssp245","SM_above",54.9257087662168,36.8666666666667,0.071846674412803,0.0481917211328976,0.0323373884953567
"End","ssp245","SM_below",149.171620844633,116.466666666667,0.195129233632568,0.152244008714597,0.067752118401127
"End","ssp245","SM_outside",204.09732961085,163.266666666667,0.266975908045371,0.213473614296062,0.0851280082767119
"End","ssp245","VPD_above",46.8512486631543,29.8,0.0612947157471601,0.0389561304451973,0.026943481378901
"End","ssp245","VPD_below",15.0068850239021,4.23333333333333,0.0196515717962005,0.00557734204793028,0.0272412646465765
"End","ssp245","VPD_outside",61.8581336870564,37.2666666666667,0.0809462875433606,0.0488363142574993,0.0499646030478026
"End","ssp585","Either_outside",266.975275865192,252.8,0.349018581946205,0.330468377350181,0.0949616870032982
"End","ssp585","SM_above",47.5685944575406,32.4,0.0621870881901949,0.0423529411764706,0.028708317668902
"End","ssp585","SM_below",165.622202582385,128.4,0.216518153158163,0.167843137254902,0.0754278756668488
"End","ssp585","SM_outside",213.190797039926,172.266666666667,0.278705241348358,0.225204005977027,0.09007693971781
"End","ssp585","VPD_above",98.1894872063762,80.3333333333333,0.128367870573816,0.105010893246187,0.049947154646658
"End","ssp585","VPD_below",11.2482966913477,3.2,0.0147080140139622,0.00418300653594771,0.0201031298293833
"End","ssp585","VPD_outside",109.437783897724,87.5333333333333,0.143075884587778,0.11442265795207,0.0654063977780625
"Mid","ssp245","Either_outside",221.977984580875,190.266666666667,0.290513999399154,0.248714596949891,0.0895343015518024
"Mid","ssp245","SM_above",55.3481496589172,37.8666666666667,0.0724340077183426,0.0495860566448802,0.0331872940217216
"Mid","ssp245","SM_below",144.019166023529,110.8,0.188493750509376,0.14483660130719,0.051802917755527
"Mid","ssp245","SM_outside",199.367315682446,156.2,0.260927758227718,0.204189440131011,0.0763941190652099
"Mid","ssp245","VPD_above",31.7240937549604,17.5333333333333,0.0415364168996302,0.0230065359477124,0.0296687924684206
"Mid","ssp245","VPD_below",14.5756820568563,3.73333333333333,0.0191003899006059,0.004880174291939,0.0250636432530834
"Mid","ssp245","VPD_outside",46.2997758118167,23.7333333333333,0.0606368068002361,0.0310239651416122,0.0538950375585498
"Mid","ssp585","Either_outside",219.55126168452,187.066666666667,0.287248812429965,0.244549593425305,0.0942755686871766
"Mid","ssp585","SM_above",56.0559477212666,36.8,0.0733505206834992,0.0481917211328976,0.0307820293009379
"Mid","ssp585","SM_below",139.662808396294,105.666666666667,0.182714748135729,0.138184011140795,0.0626826489307882
"Mid","ssp585","SM_outside",195.718756117561,151.933333333333,0.256065268819228,0.198623116494998,0.0838205227892986
"Mid","ssp585","VPD_above",31.8332895378325,18.1333333333333,0.041657872274551,0.0237114695312332,0.0322963892479914
"Mid","ssp585","VPD_below",15.9946656984574,3.86666666666667,0.0209473827080794,0.00505446623093682,0.0252603438430284
"Mid","ssp585","VPD_outside",47.8279552362899,24.5333333333333,0.0626052549826303,0.0320697167755991,0.054149785319713
